TIME: (28-11-2025 02-56-15)
Finished Time	Name	Progress	#
------------------------------------
28-11-2025 02:55:36	p611	572 / 572	56
28-11-2025 02:55:37	p592	1019 / 1019	55
28-11-2025 02:55:38	p617	450 / 450	54
28-11-2025 02:55:39	p606	821 / 821	53
28-11-2025 02:55:39	p610	552 / 552	52
28-11-2025 02:55:40	p618	459 / 459	51
28-11-2025 02:55:42	p609	1099 / 1099	50
28-11-2025 02:55:42	p604	1098 / 1098	49
28-11-2025 02:55:43	p620	655 / 655	48
28-11-2025 02:55:43	p612	912 / 912	47
28-11-2025 02:55:45	p628	531 / 531	46
28-11-2025 02:55:45	p621	832 / 832	45
28-11-2025 02:55:45	p614	610 / 610	44
28-11-2025 02:55:46	p630	548 / 548	43
28-11-2025 02:55:46	p616	845 / 845	42
28-11-2025 02:55:47	p632	483 / 483	41
28-11-2025 02:55:48	p633	469 / 469	40
28-11-2025 02:55:49	p629	878 / 878	39
28-11-2025 02:55:50	p615	1112 / 1112	38
28-11-2025 02:55:50	p626	646 / 646	37
28-11-2025 02:55:51	p637	362 / 362	36
28-11-2025 02:55:51	p623	940 / 940	35
28-11-2025 02:55:51	p624	826 / 826	34
28-11-2025 02:55:51	p634	505 / 505	33
28-11-2025 02:55:52	p622	916 / 916	32
28-11-2025 02:55:52	p627	923 / 923	31
28-11-2025 02:55:52	p636	497 / 497	30
28-11-2025 02:55:53	p631	881 / 881	29
28-11-2025 02:55:54	p619	1095 / 1095	28
28-11-2025 02:55:56	p635	725 / 725	27
28-11-2025 02:55:56	p642	475 / 475	26
28-11-2025 02:55:57	p625	873 / 873	25
28-11-2025 02:55:58	p645	498 / 498	24
28-11-2025 02:56:00	p640	988 / 988	23
28-11-2025 02:56:01	p644	604 / 604	22
28-11-2025 02:56:02	p646	764 / 764	21
28-11-2025 02:56:02	p643	937 / 937	20
28-11-2025 02:56:02	p649	571 / 571	19
28-11-2025 02:56:03	p651	564 / 564	18
28-11-2025 02:56:03	p654	556 / 556	17
28-11-2025 02:56:04	p655	726 / 726	16
28-11-2025 02:56:04	p641	991 / 991	15
28-11-2025 02:56:05	p638	1073 / 1073	14
28-11-2025 02:56:06	p647	748 / 748	13
28-11-2025 02:56:06	p653	844 / 844	12
28-11-2025 02:56:06	p661	359 / 359	11
28-11-2025 02:56:07	p656	699 / 699	10
28-11-2025 02:56:07	p639	1036 / 1036	9
28-11-2025 02:56:08	p652	788 / 788	8
28-11-2025 02:56:08	p657	675 / 675	7
28-11-2025 02:56:08	p648	926 / 926	6
28-11-2025 02:56:09	p658	607 / 607	5
28-11-2025 02:56:12	p668	434 / 434	4
28-11-2025 02:56:12	p650	801 / 801	3
28-11-2025 02:56:12	p659	660 / 660	2
28-11-2025 02:56:12	p663	523 / 523	1
